INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	INCHIKEY	IUPAC_NAME	SMILES	QSAR_READY_SMILES
ergocalciferol	Approved Name	DTXSID5020233	Ergocalciferol	50-14-6	MECHNRXZTMCUDQ-RKHKHRCZSA-N	(3S,5Z,7E,22E)-9,10-Secoergosta-5,7,10,22-tetraen-3-ol	CC(C)[C@@H](C)\C=C\[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C	CC(C)C(C)\C=C\C(C)C1CCC2\C(CCCC12C)=C\C=C1\CC(O)CCC1=C
erythromycin	Approved Name	DTXSID4022991	Erythromycin	114-07-8	ULGZDMOVFRHVEP-RWJQBGPGSA-N	(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-{[(2S,3R,4S,6R)-4-(Dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy}-14-ethyl-7,12,13-trihydroxy-4-{[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy}-3,5,7,9,11,13-hexamethyl-1-oxacyclotetradecane-2,10-dione (non-preferred name)	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
estradiol	Expert Validated Synonym	DTXSID0020573	17beta-Estradiol	50-28-2	VOXZDWNPVJITMN-ZBRFXRBCSA-N	(17beta)-Estra-1(10),2,4-triene-3,17-diol	[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H]	CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O
ethionamide	Approved Name	DTXSID0020577	Ethionamide	536-33-4	AEOCXXJPGCBFJA-UHFFFAOYSA-N	2-Ethylpyridine-4-carbothioamide	CCC1=NC=CC(=C1)C(N)=S	CCC1=NC=CC(=C1)C(N)=S
etidronic acid	Approved Name	DTXSID6023028	Etidronic acid	2809-21-4	DBVJJBKOTRCVKF-UHFFFAOYSA-N	(1-Hydroxyethane-1,1-diyl)bis(phosphonic acid)	CC(O)(P(O)(O)=O)P(O)(O)=O	CC(O)(P(O)(O)=O)P(O)(O)=O
etodolac	Approved Name	DTXSID9020615	Etodolac	41340-25-4	NNYBQONXHNTVIJ-UHFFFAOYSA-N	(1,8-Diethyl-1,3,4,9-tetrahydropyrano[3,4-b]indol-1-yl)acetic acid	CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O	CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O
etoposide	Approved Name	DTXSID5023035	Etoposide	33419-42-0	VJJPUSNTGOMMGY-NBJJDLTASA-N	(8aR,9R)-9-(4-Hydroxy-3,5-dimethoxyphenyl)-8-oxo-5,5a,6,8,8a,9-hexahydro-2H-furo[3',4':6,7]naphtho[2,3-d][1,3]dioxol-5-yl 4,6-O-[(1R)-ethylidene]-beta-D-glucopyranoside	COC1=CC(=CC(OC)=C1O)[C@H]1[C@@H]2C(COC2=O)C(O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@H]3[C@H](O)[C@H]2O)C2=CC3=C(OCO3)C=C12	COC1=CC(=CC(OC)=C1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2=C1C=C1OCOC1=C2
fenoprofen	Approved Name	DTXSID9023045	Fenoprofen	29679-58-1	RDJGLLICXDHJDY-UHFFFAOYSA-N	2-(3-Phenoxyphenyl)propanoic acid	CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1	CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1
fipexide	Approved Name	DTXSID5044657	Fipexide	34161-24-5	BFUJHVVEMMWLHC-UHFFFAOYSA-N	1-{4-[(2H-1,3-Benzodioxol-5-yl)methyl]piperazin-1-yl}-2-(4-chlorophenoxy)ethan-1-one	ClC1=CC=C(OCC(=O)N2CCN(CC3=CC4=C(OCO4)C=C3)CC2)C=C1	ClC1=CC=C(OCC(=O)N2CCN(CC3=CC4=C(OCO4)C=C3)CC2)C=C1
flavoxate	Approved Name	DTXSID3023053	Flavoxate	15301-69-6	SPIUTQOUKAMGCX-UHFFFAOYSA-N	2-(Piperidin-1-yl)ethyl 3-methyl-4-oxo-2-phenyl-4H-1-benzopyran-8-carboxylate	CC1=C(OC2=C(C=CC=C2C1=O)C(=O)OCCN1CCCCC1)C1=CC=CC=C1	CC1=C(OC2=C(C=CC=C2C1=O)C(=O)OCCN1CCCCC1)C1=CC=CC=C1
flecainide	Approved Name	DTXSID8023054	Flecainide	54143-55-4	DJBNUMBKLMJRSA-UHFFFAOYSA-N	N-[(Piperidin-2-yl)methyl]-2,5-bis(2,2,2-trifluoroethoxy)benzamide	FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1	FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1
fludrocortisone	Approved Name	DTXSID7023061	Fludrocortisone	127-31-1	AAXVEMMRQDVLJB-BULBTXNYSA-N	(11beta)-9-Fluoro-11,17,21-trihydroxypregn-4-ene-3,20-dione	C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO	CC12CC(O)C3(F)C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO
fluoxetine	Approved Name	DTXSID7023067	Fluoxetine	54910-89-3	RTHCYVBBDHJXIQ-UHFFFAOYSA-N	N-Methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine	CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1	CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1
flutamide	Approved Name	DTXSID7032004	Flutamide	13311-84-7	MKXKFYHWDHIYRV-UHFFFAOYSA-N	2-Methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]propanamide	CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F	CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
folic acid	Approved Name	DTXSID0022519	Folic acid	59-30-3	OVBPIULPVIDEAO-LBPRGKRZSA-N	N-(4-{[(2-Amino-4-oxo-1,4-dihydropteridin-6-yl)methyl]amino}benzoyl)-L-glutamic acid	NC1=NC(=O)C2=C(N1)N=CC(CNC1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=N2	NC1=NC(=O)C2=C(N1)N=CC(CNC1=CC=C(C=C1)C(=O)NC(CCC(O)=O)C(O)=O)=N2
gabapentin	Approved Name	DTXSID0020074	Gabapentin	60142-96-3	UGJMXCAKCUNAIE-UHFFFAOYSA-N	[1-(Aminomethyl)cyclohexyl]acetic acid	NCC1(CC(O)=O)CCCCC1	NCC1(CC(O)=O)CCCCC1
gemfibrozil	Approved Name	DTXSID0020652	Gemfibrozil	25812-30-0	HEMJJKBWTPKOJG-UHFFFAOYSA-N	5-(2,5-Dimethylphenoxy)-2,2-dimethylpentanoic acid	CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1	CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
glafenine	Approved Name	DTXSID1048546	Glafenine	3820-67-5	GWOFUCIGLDBNKM-UHFFFAOYSA-N	2,3-Dihydroxypropyl 2-[(7-chloroquinolin-4-yl)amino]benzoate	OCC(O)COC(=O)C1=C(NC2=C3C=CC(Cl)=CC3=NC=C2)C=CC=C1	OCC(O)COC(=O)C1=C(NC2=C3C=CC(Cl)=CC3=NC=C2)C=CC=C1
glibenclamide	Synonym from Valid Source	DTXSID0037237	Glybenclamide	10238-21-8	ZNNLBTZKUZBEKO-UHFFFAOYSA-N	5-Chloro-N-(2-{4-[(cyclohexylcarbamoyl)sulfamoyl]phenyl}ethyl)-2-methoxybenzamide	COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1	COC1=C(C=C(Cl)C=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
glipizide	Approved Name	DTXSID0040676	Glipizide	29094-61-9	ZJJXGWJIGJFDTL-UHFFFAOYSA-N	N-(2-{4-[(Cyclohexylcarbamoyl)sulfamoyl]phenyl}ethyl)-5-methylpyrazine-2-carboxamide	CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1	CC1=NC=C(N=C1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1
griseofulvin	Approved Name	DTXSID8020674	Griseofulvin	126-07-8	DDUHZTYCFQRHIY-RBHXEPJQSA-N	(2S,6'R)-7-Chloro-2',4,6-trimethoxy-6'-methyl-3H-spiro[1-benzofuran-2,1'-cyclohex[2]ene]-3,4'-dione	COC1=CC(OC)=C(Cl)C2=C1C(=O)[C@]1(O2)[C@H](C)CC(=O)C=C1OC	COC1=CC(OC)=C(Cl)C2=C1C(=O)C1(O2)C(C)CC(=O)C=C1OC
haloperidol	Approved Name	DTXSID4034150	Haloperidol	52-86-8	LNEPOXFFQSENCJ-UHFFFAOYSA-N	4-[4-(4-Chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one	OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1	OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1
hydrochlorothiazide	Approved Name	DTXSID2020713	Hydrochlorothiazide	58-93-5	JZUFKLXOESDKRF-UHFFFAOYSA-N	6-Chloro-1,1-dioxo-1,2,3,4-tetrahydro-1lambda~6~,2,4-benzothiadiazine-7-sulfonamide	NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl	NS(=O)(=O)C1=CC2=C(NCNS2(=O)=O)C=C1Cl
hydrocortisone	Approved Name	DTXSID7020714	Hydrocortisone	50-23-7	JYGXADMDTFJGBT-VWUMJDOOSA-N	(11beta)-11,17,21-Trihydroxypregn-4-ene-3,20-dione	C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO	CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO
ifosfamide	Approved Name	DTXSID7020760	Ifosfamide	3778-73-2	HOMGKSMUEGBAAB-UHFFFAOYSA-N	3-(2-Chloroethyl)-2-[(2-chloroethyl)amino]-1,3,2lambda~5~-oxazaphosphinan-2-one	ClCCNP1(=O)OCCCN1CCCl	ClCCNP1(=O)OCCCN1CCCl
imatinib	Approved Name	DTXSID3037125	Imatinib	152459-95-5	KTUFNOKKBVMGRW-UHFFFAOYSA-N	4-[(4-Methylpiperazin-1-yl)methyl]-N-(4-methyl-3-{[4-(pyridin-3-yl)pyrimidin-2-yl]amino}phenyl)benzamide	CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CC=CN=C3)=C(C)C=C2)CC1	CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CC=CN=C3)=C(C)C=C2)CC1
imipramine	Approved Name	DTXSID1043881	Imipramine	50-49-7	BCGWQEUPMDMJNV-UHFFFAOYSA-N	3-(10,11-Dihydro-5H-dibenzo[b,f]azepin-5-yl)-N,N-dimethylpropan-1-amine	CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12	CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12
iproniazid	Approved Name	DTXSID5023168	Iproniazid	54-92-2	NYMGNSNKLVNMIA-UHFFFAOYSA-N	N'-(Propan-2-yl)pyridine-4-carbohydrazide	CC(C)NNC(=O)C1=CC=NC=C1	CC(C)NNC(=O)C1=CC=NC=C1
irinotecan	Approved Name	DTXSID1041051	Irinotecan	97682-44-5	UWKQSNNFCGGAFS-XIFFEERXSA-N	(4S)-4,11-Diethyl-4-hydroxy-3,14-dioxo-3,4,12,14-tetrahydro-1H-pyrano[3',4':6,7]indolizino[1,2-b]quinolin-9-yl [1,4'-bipiperidine]-1'-carboxylatato	CCC1=C2C=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)[C@]2(O)CC)C1=O	CCC1=C2C=C(OC(=O)N3CCC(CC3)N3CCCCC3)C=CC2=NC2=C1CN1C2=CC2=C(COC(=O)C2(O)CC)C1=O
isoniazid	Approved Name	DTXSID8020755	Isoniazid	54-85-3	QRXWMOHMRWLFEY-UHFFFAOYSA-N	Pyridine-4-carbohydrazide	NNC(=O)C1=CC=NC=C1	NNC(=O)C1=CC=NC=C1
isotretinoin	Expert Validated Synonym	DTXSID4023177	13-cis Retinoic acid	4759-48-2	SHGAZHPCJJPHSC-XFYACQKRSA-N	(13cis)-Retinoic acid	C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C\C(O)=O	C\C(\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C(/C)=C/C(O)=O
isoxsuprine	Approved Name	DTXSID9023178	Isoxsuprine	395-28-8	BMUKKTUHUDJSNZ-UHFFFAOYSA-N	4-{1-Hydroxy-2-[(1-phenoxypropan-2-yl)amino]propyl}phenol	CC(COC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1	CC(COC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1
kanamycin	Approved Name	DTXSID2041171	Kanamycin	8063-07-8	-	-	-	-
ketoprofen	Approved Name	DTXSID6020771	Ketoprofen	22071-15-4	DKYWVDODHFEZIM-UHFFFAOYSA-N	2-(3-Benzoylphenyl)propanoic acid	CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1	CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1
labetalol	Approved Name	DTXSID2023191	Labetalol	36894-69-6	SGUAFYQXFOLMHL-UHFFFAOYSA-N	2-Hydroxy-5-{1-hydroxy-2-[(4-phenylbutan-2-yl)amino]ethyl}benzamide	CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O	CC(CCC1=CC=CC=C1)NCC(O)C1=CC=C(O)C(=C1)C(N)=O
lansoprazole	Approved Name	DTXSID4023200	Lansoprazole	103577-45-3	MJIHNNLFOKEZEW-UHFFFAOYSA-N	2-{[3-Methyl-4-(2,2,2-trifluoroethoxy)pyridin-2-yl]methanesulfinyl}-1H-benzimidazole	CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1	CC1=C(OCC(F)(F)F)C=CN=C1CS(=O)C1=NC2=CC=CC=C2N1
letrozole	Approved Name	DTXSID4023202	Letrozole	112809-51-5	HPJKCIUCZWXJDR-UHFFFAOYSA-N	4,4'-[(1H-1,2,4-Triazol-1-yl)methylene]dibenzonitrile	N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N	N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N
lidocaine	Approved Name	DTXSID1045166	Lidocaine	137-58-6	NNJVILVZKWQKPM-UHFFFAOYSA-N	N-(2,6-Dimethylphenyl)-N~2~,N~2~-diethylglycinamide	CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	CCN(CC)CC(=O)NC1=C(C)C=CC=C1C
lomustine	Approved Name	DTXSID2023222	Lomustine	13010-47-4	GQYIWUVLTXOXAJ-UHFFFAOYSA-N	N-(2-Chloroethyl)-N'-cyclohexyl-N-nitrosourea	ClCCN(N=O)C(=O)NC1CCCCC1	ClCCN(N=O)C(=O)NC1CCCCC1
loperamide	Approved Name	DTXSID6045165	Loperamide	53179-11-6	RDOIQAHITMMDAJ-UHFFFAOYSA-N	4-[4-(4-Chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide	CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1	CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1
mebendazole	Approved Name	DTXSID4040682	Mebendazole	31431-39-7	OPXLLQIJSORQAM-UHFFFAOYSA-N	Methyl (5-benzoyl-1H-benzimidazol-2-yl)carbamate	COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C1=CC=CC=C1	COC(=O)NC1=NC2=C(N1)C=CC(=C2)C(=O)C1=CC=CC=C1
mecamylamine	Approved Name	DTXSID0023240	Mecamylamine	60-40-2	IMYZQPCYWPFTAG-UHFFFAOYSA-N	N,2,3,3-Tetramethylbicyclo[2.2.1]heptan-2-amine	CNC1(C)C2CCC(C2)C1(C)C	CNC1(C)C2CCC(C2)C1(C)C
mefloquine	Approved Name	DTXSID4037168	Mefloquine	53230-10-7	XEEQGYMUWCZPDN-DOMZBBRYSA-N	(S)-[2,8-Bis(trifluoromethyl)quinolin-4-yl][(2R)-piperidin-2-yl]methanol	O[C@H]([C@H]1CCCCN1)C1=CC(=NC2=C1C=CC=C2C(F)(F)F)C(F)(F)F	OC(C1CCCCN1)C1=C2C=CC=C(C2=NC(=C1)C(F)(F)F)C(F)(F)F
memantine	Approved Name	DTXSID5045174	Memantine	19982-08-2	BUGYDGFZZOZRHP-UHFFFAOYSA-N	3,5-Dimethyladamantan-1-amine	CC12CC3CC(C)(C1)CC(N)(C3)C2	CC12CC3CC(C)(C1)CC(N)(C3)C2
mercaptopurine	Synonym from Valid Source	DTXSID0020810	6-Mercaptopurine	50-44-2	GLVAUDGFNGKCSF-UHFFFAOYSA-N	1,9-Dihydro-6H-purine-6-thione	S=C1NC=NC2=C1N=CN2	S=C1NC=NC2=C1N=CN2
meropenem	Approved Name	DTXSID7045526	Meropenem	96036-03-2	DMJNNHOOLUXYBV-PQTSNVLCSA-N	(4R,5S,6S)-3-{[(3S,5S)-5-(Dimethylcarbamoyl)pyrrolidin-3-yl]sulfanyl}-6-[(1R)-1-hydroxyethyl]-4-methyl-7-oxo-1-azabicyclo[3.2.0]hept-2-ene-2-carboxylic acid	C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)=C(N2C1=O)C(O)=O	CC(O)C1C2C(C)C(SC3CNC(C3)C(=O)N(C)C)=C(N2C1=O)C(O)=O
methazolamide	Approved Name	DTXSID1023281	Methazolamide	554-57-4	FLOSMHQXBMRNHR-UHFFFAOYSA-N	N-(3-Methyl-5-sulfamoyl-1,3,4-thiadiazol-2(3H)-ylidene)acetamide	CN1N=C(SC1=NC(C)=O)S(N)(=O)=O	CN1N=C(SC1=NC(C)=O)S(N)(=O)=O
methoxsalen	Synonym from Valid Source	DTXSID8020830	8-Methoxypsoralen	298-81-7	QXKHYNVANLEOEG-UHFFFAOYSA-N	9-Methoxy-7H-furo[3,2-g][1]benzopyran-7-one	COC1=C2OC(=O)C=CC2=CC2=C1OC=C2	COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
methyldopa	Approved Name	DTXSID5023295	Methyldopa	555-30-6	CJCSPKMFHVPWAR-JTQLQIEISA-N	3-Hydroxy-alpha-methyl-L-tyrosine	C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O	CC(N)(CC1=CC(O)=C(O)C=C1)C(O)=O
metoclopramide	Approved Name	DTXSID6045169	Metoclopramide	364-62-5	TTWJBBZEZQICBI-UHFFFAOYSA-N	4-Amino-5-chloro-N-[2-(diethylamino)ethyl]-2-methoxybenzamide	CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC	CCN(CC)CCNC(=O)C1=CC(Cl)=C(N)C=C1OC
metoprolol	Approved Name	DTXSID2023309	Metoprolol	51384-51-1	IUBSYMUCCVWXPE-UHFFFAOYSA-N	1-[4-(2-Methoxyethyl)phenoxy]-3-[(propan-2-yl)amino]propan-2-ol	COCCC1=CC=C(OCC(O)CNC(C)C)C=C1	COCCC1=CC=C(OCC(O)CNC(C)C)C=C1
metronidazole	Approved Name	DTXSID2020892	Metronidazole	443-48-1	VAOCPAMSLUNLGC-UHFFFAOYSA-N	2-(2-Methyl-5-nitro-1H-imidazol-1-yl)ethan-1-ol	CC1=NC=C(N1CCO)[N+]([O-])=O	CC1=NC=C(N1CCO)[N+]([O-])=O
metyrapone	Approved Name	DTXSID1023314	Metyrapone	54-36-4	FJLBFSROUSIWMA-UHFFFAOYSA-N	2-Methyl-1,2-di(pyridin-3-yl)propan-1-one	CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1	CC(C)(C(=O)C1=CN=CC=C1)C1=CN=CC=C1
mexiletine	Approved Name	DTXSID8048446	Mexiletine	31828-71-4	VLPIATFUUWWMKC-UHFFFAOYSA-N	1-(2,6-Dimethylphenoxy)propan-2-amine	CC(N)COC1=C(C)C=CC=C1C	CC(N)COC1=C(C)C=CC=C1C
midodrine	Approved Name	DTXSID0023321	Midodrine	42794-76-3	PTKSEFOSCHHMPD-UHFFFAOYSA-N	N-[2-(2,5-Dimethoxyphenyl)-2-hydroxyethyl]glycinamide	COC1=CC=C(OC)C(=C1)C(O)CNC(=O)CN	COC1=CC=C(OC)C(=C1)C(O)CNC(=O)CN
minocycline	Approved Name	DTXSID1045033	Minocycline	10118-90-8	DYKFCLLONBREIL-KVUCHLLUSA-N	(4S,4aS,5aR,12aS)-4,7-Bis(dimethylamino)-3,10,12,12a-tetrahydroxy-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide	CN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(O)=CC=C4N(C)C)C(=O)C3=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O	CN(C)C1C2CC3CC4=C(C(O)=CC=C4N(C)C)C(=O)C3=C(O)C2(O)C(=O)C(C(N)=O)=C1O
minoxidil	Approved Name	DTXSID9040685	Minoxidil	38304-91-5	ZFMITUMMTDLWHR-UHFFFAOYSA-N	3-Oxo-6-(piperidin-1-yl)-3lambda~5~-pyrimidine-2,4-diamine	NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1	NC1=CC(=NC(N)=[N+]1[O-])N1CCCCC1
moxisylyte	Approved Name	DTXSID4023339	Moxisylyte	54-32-0	VRYMTAVOXVTQEF-UHFFFAOYSA-N	4-[2-(Dimethylamino)ethoxy]-2-methyl-5-(propan-2-yl)phenyl acetate	CC(C)C1=CC(OC(C)=O)=C(C)C=C1OCCN(C)C	CC(C)C1=CC(OC(C)=O)=C(C)C=C1OCCN(C)C
nalbuphine	Approved Name	DTXSID8023345	Nalbuphine	20594-83-6	NETZHAKZCGBWSS-CEDHKZHLSA-N	(5alpha,6alpha)-17-(Cyclobutylmethyl)-4,5-epoxymorphinan-3,6,14-triol	O[C@H]1CC[C@@]2(O)[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3CC1CCC1)=C(O)C=C4	[H]C12CC3=C4C(OC5C(O)CCC1(O)C45CCN2CC1CCC1)=C(O)C=C3
naloxone	Approved Name	DTXSID8023349	Naloxone	465-65-6	UZHSEJADLWPNLE-GRGSLBFTSA-N	(5alpha)-3,14-Dihydroxy-17-(prop-2-en-1-yl)-4,5-epoxymorphinan-6-one	OC1=C2O[C@H]3C(=O)CC[C@@]4(O)[C@H]5CC(C=C1)=C2[C@@]34CCN5CC=C	[H]C12CC3=C4C(OC5C(=O)CCC1(O)C45CCN2CC=C)=C(O)C=C3
naproxen	Approved Name	DTXSID4040686	Naproxen	22204-53-1	CMWTZPSULFXXJA-VIFPVBQESA-N	(2S)-2-(6-Methoxynaphthalen-2-yl)propanoic acid	COC1=CC2=CC=C(C=C2C=C1)[C@H](C)C(O)=O	COC1=CC2=CC=C(C=C2C=C1)C(C)C(O)=O
neomycin	Approved Name	DTXSID9041073	Neomycin	1404-04-2	-	-	-	-
nialamide	Approved Name	DTXSID1023362	Nialamide	51-12-7	NOIIUHRQUVNIDD-UHFFFAOYSA-N	N-Benzyl-3-[2-(pyridine-4-carbonyl)hydrazinyl]propanamide	O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1	O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1
nifedipine	Approved Name	DTXSID2025715	Nifedipine	21829-25-4	HYIMSNHJOBLJNT-UHFFFAOYSA-N	Dimethyl 2,6-dimethyl-4-(2-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC	COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC
nimesulide	Approved Name	DTXSID3037250	Nimesulide	51803-78-2	HYWYRSMBCFDLJT-UHFFFAOYSA-N	N-(4-Nitro-2-phenoxyphenyl)methanesulfonamide	CS(=O)(=O)NC1=CC=C(C=C1OC1=CC=CC=C1)[N+]([O-])=O	CS(=O)(=O)NC1=CC=C(C=C1OC1=CC=CC=C1)[N+]([O-])=O
nomifensine	Approved Name	DTXSID0023377	Nomifensine	24526-64-5	XXPANQJNYNUNES-UHFFFAOYSA-N	2-Methyl-4-phenyl-1,2,3,4-tetrahydroisoquinolin-8-amine	CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1	CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1
nystatin	Approved Name	DTXSID4040688	Nystatin	1400-61-9	-	-	-	-
orciprenaline	Synonym from Valid Source	DTXSID8048529	Metaproterenol	586-06-1	LMOINURANNBYCM-UHFFFAOYSA-N	5-{1-Hydroxy-2-[(propan-2-yl)amino]ethyl}benzene-1,3-diol	CC(C)NCC(O)C1=CC(O)=CC(O)=C1	CC(C)NCC(O)C1=CC(O)=CC(O)=C1
oxaprozin	Approved Name	DTXSID1045118	Oxaprozin	21256-18-8	OFPXSFXSNFPTHF-UHFFFAOYSA-N	3-(4,5-Diphenyl-1,3-oxazol-2-yl)propanoic acid	OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1	OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1
oxybutynin	Approved Name	DTXSID0023406	Oxybutynin	5633-20-5	XIQVNETUBQGFHX-UHFFFAOYSA-N	4-(Diethylamino)but-2-yn-1-yl cyclohexyl(hydroxy)phenylacetate	CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
