INPUT	FOUND_BY	DTXSID	PREFERRED_NAME	CASRN	IUPAC_NAME	INCHI_STRING	DATA_SOURCES	QSAR_READY_SMILES
meclocycline	Approved Name	DTXSID4048567	Meclocycline	2013-58-3	(4S,4aR,5S,5aR,12aS)-7-Chloro-4-(dimethylamino)-3,5,10,12,12a-pentahydroxy-6-methylidene-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide	InChI=1S/C22H21ClN2O8/c1-6-9-7(23)4-5-8(26)11(9)16(27)12-10(6)17(28)14-15(25(2)3)18(29)13(21(24)32)20(31)22(14,33)19(12)30/h4-5,10,14-15,17,26,28-30,33H,1H2,2-3H3,(H2,24,32)/t10-,14-,15+,17+,22+/m1/s1	22	CN(C)C1C2C(O)C3C(=C)C4=C(C(O)=CC=C4Cl)C(=O)C3=C(O)C2(O)C(=O)C(C(N)=O)=C1O
naringenin	Approved Name	DTXSID1022392	Naringenin	480-41-1	(2S)-5,7-Dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydro-4H-1-benzopyran-4-one	InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2/t13-/m0/s1	35	OC1=CC=C(C=C1)C1CC(=O)C2=C(O1)C=C(O)C=C2O
amantadine	Approved Name	DTXSID8022117	Amantadine	768-94-5	Adamantan-1-amine	InChI=1S/C10H17N/c11-10-4-7-1-8(5-10)3-9(2-7)6-10/h7-9H,1-6,11H2	59	NC12CC3CC(CC(C3)C1)C2
betulinic acid	NO_MATCH	-	-	-	-	-	-	-
primaquine	Approved Name	DTXSID8023509	Primaquine	90-34-6	N~4~-(6-Methoxyquinolin-8-yl)pentane-1,4-diamine	InChI=1S/C15H21N3O/c1-11(5-3-7-16)18-14-10-13(19-2)9-12-6-4-8-17-15(12)14/h4,6,8-11,18H,3,5,7,16H2,1-2H3	30	COC1=CC(NC(C)CCCN)=C2N=CC=CC2=C1
chlorogenic acid	Approved Name	DTXSID3024786	Chlorogenic acid	327-97-9	(1S,3R,4R,5R)-3-{[3-(3,4-Dihydroxyphenyl)prop-2-enoyl]oxy}-1,4,5-trihydroxycyclohexane-1-carboxylic acid	InChI=1S/C16H18O9/c17-9-3-1-8(5-10(9)18)2-4-13(20)25-12-7-16(24,15(22)23)6-11(19)14(12)21/h1-5,11-12,14,17-19,21,24H,6-7H2,(H,22,23)/t11-,12-,14-,16+/m1/s1	33	OC1CC(O)(CC(OC(=O)\C=C/C2=CC(O)=C(O)C=C2)C1O)C(O)=O
naltrexone	Approved Name	DTXSID4046313	Naltrexone	16590-41-3	(5alpha)-17-(Cyclopropylmethyl)-3,14-dihydroxy-4,5-epoxymorphinan-6-one	InChI=1S/C20H23NO4/c22-13-4-3-12-9-15-20(24)6-5-14(23)18-19(20,16(12)17(13)25-18)7-8-21(15)10-11-1-2-11/h3-4,11,15,18,22,24H,1-2,5-10H2/t15-,18+,19+,20-/m1/s1	42	[H]C12CC3=C4C(OC5C(=O)CCC1(O)C45CCN2CC1CC1)=C(O)C=C3
mefloquine	Approved Name	DTXSID4037168	Mefloquine	53230-10-7	(S)-[2,8-Bis(trifluoromethyl)quinolin-4-yl][(2R)-piperidin-2-yl]methanol	InChI=1S/C17H16F6N2O/c18-16(19,20)11-5-3-4-9-10(15(26)12-6-1-2-7-24-12)8-13(17(21,22)23)25-14(9)11/h3-5,8,12,15,24,26H,1-2,6-7H2/t12-,15+/m1/s1	25	OC(C1CCCCN1)C1=C2C=CC=C(C2=NC(=C1)C(F)(F)F)C(F)(F)F
astemizole	Approved Name	DTXSID9020110	Astemizole	68844-77-9	1-[(4-Fluorophenyl)methyl]-N-{1-[2-(4-methoxyphenyl)ethyl]piperidin-4-yl}-1H-benzimidazol-2-amine	InChI=1S/C28H31FN4O/c1-34-25-12-8-21(9-13-25)14-17-32-18-15-24(16-19-32)30-28-31-26-4-2-3-5-27(26)33(28)20-22-6-10-23(29)11-7-22/h2-13,24H,14-20H2,1H3,(H,30,31)	50	COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1
ivermectin	Approved Name	DTXSID7040235	Ivermectin	70288-86-7	-	-	32	-
diazoxide	Approved Name	DTXSID7022914	Diazoxide	364-98-7	7-Chloro-3-methyl-1lambda~6~,2,4-benzothiadiazine-1,1(2H)-dione	InChI=1S/C8H7ClN2O2S/c1-5-10-7-3-2-6(9)4-8(7)14(12,13)11-5/h2-4H,1H3,(H,10,11)	47	CC1=NC2=CC=C(Cl)C=C2S(=O)(=O)N1
isoconazole	Approved Name	DTXSID7045447	Isoconazole	27523-40-6	1-{2-(2,4-Dichlorophenyl)-2-[(2,6-dichlorophenyl)methoxy]ethyl}-1H-imidazole	InChI=1S/C18H14Cl4N2O/c19-12-4-5-13(17(22)8-12)18(9-24-7-6-23-11-24)25-10-14-15(20)2-1-3-16(14)21/h1-8,11,18H,9-10H2	29	ClC1=CC(Cl)=C(C=C1)C(CN1C=CN=C1)OCC1=C(Cl)C=CC=C1Cl
clindamycin	Approved Name	DTXSID2022836	Clindamycin	18323-44-9	Methyl 7-chloro-6,7,8-trideoxy-6-{[(4R)-1-methyl-4-propyl-L-prolyl]amino}-1-thio-L-threo-alpha-D-galacto-octopyranoside	InChI=1S/C18H33ClN2O5S/c1-5-6-10-7-11(21(3)8-10)17(25)20-12(9(2)19)16-14(23)13(22)15(24)18(26-16)27-4/h9-16,18,22-24H,5-8H2,1-4H3,(H,20,25)/t9-,10+,11-,12+,13-,14+,15+,16+,18+/m0/s1	36	CCCC1CC(N(C)C1)C(=O)NC(C(C)Cl)C1OC(SC)C(O)C(O)C1O
disulfiram	Approved Name	DTXSID1021322	Disulfiram	97-77-8	-	InChI=1S/C10H20N2S4/c1-5-11(6-2)9(13)15-16-10(14)12(7-3)8-4/h5-8H2,1-4H3	93	CCN(CC)C(=S)SSC(=S)N(CC)CC
atropine oxide	Synonym	DTXSID6022632	Atropine N-oxide	4438-22-6	(1R,3r,5S)-8-Methyl-8-oxo-8lambda~5~-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-phenylpropanoate	InChI=1S/C17H23NO4/c1-18(21)13-7-8-14(18)10-15(9-13)22-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14+,15+,16?,18?	16	[H]C12CCC([H])(CC(C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)[O-]
chlorphenamine	Synonym from Valid Source	DTXSID0022804	Chlorpheniramine	132-22-9	3-(4-Chlorophenyl)-N,N-dimethyl-3-(pyridin-2-yl)propan-1-amine	InChI=1S/C16H19ClN2/c1-19(2)12-10-15(16-5-3-4-11-18-16)13-6-8-14(17)9-7-13/h3-9,11,15H,10,12H2,1-2H3	37	CN(C)CCC(C1=CC=C(Cl)C=C1)C1=NC=CC=C1
aminophenazone	Synonym from Valid Source	DTXSID7020504	4-Dimethylaminoantipyrine	58-15-1	4-(Dimethylamino)-1,5-dimethyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-one	InChI=1S/C13H17N3O/c1-10-12(14(2)3)13(17)16(15(10)4)11-8-6-5-7-9-11/h5-9H,1-4H3	56	CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1
nicergoline	Approved Name	DTXSID7045607	Nicergoline	27848-84-6	[(8beta)-10-Methoxy-1,6-dimethylergolin-8-yl]methyl 5-bromopyridine-3-carboxylate	InChI=1S/C24H26BrN3O3/c1-27-13-17-8-21-24(30-3,19-5-4-6-20(27)22(17)19)9-15(12-28(21)2)14-31-23(29)16-7-18(25)11-26-10-16/h4-7,10-11,13,15,21H,8-9,12,14H2,1-3H3/t15-,21-,24+/m1/s1	28	COC12CC(COC(=O)C3=CC(Br)=CN=C3)CN(C)C1CC1=CN(C)C3=CC=CC2=C13
gallamine triethiodide	Approved Name	DTXSID5023089	Gallamine triethiodide	65-29-2	2-{2,3-Bis[2-(triethylazaniumyl)ethoxy]phenoxy}-N,N,N-triethylethan-1-aminium triiodide	InChI=1S/C30H60N3O3.3HI/c1-10-31(11-2,12-3)22-25-34-28-20-19-21-29(35-26-23-32(13-4,14-5)15-6)30(28)36-27-24-33(16-7,17-8)18-9;;;/h19-21H,10-18,22-27H2,1-9H3;3*1H/q+3;;;/p-3	29	CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC
acetylsalicylsalicylic acid	NO_MATCH	-	-	-	-	-	-	-
nomifensine	Approved Name	DTXSID0023377	Nomifensine	24526-64-5	2-Methyl-4-phenyl-1,2,3,4-tetrahydroisoquinolin-8-amine	InChI=1S/C16H18N2/c1-18-10-14(12-6-3-2-4-7-12)13-8-5-9-16(17)15(13)11-18/h2-9,14H,10-11,17H2,1H3	44	CN1CC(C2=CC=CC=C2)C2=CC=CC(N)=C2C1
terfenadine	Approved Name	DTXSID2023642	Terfenadine	50679-08-8	1-(4-tert-Butylphenyl)-4-{4-[hydroxy(diphenyl)methyl]piperidin-1-yl}butan-1-ol	InChI=1S/C32H41NO2/c1-31(2,3)26-18-16-25(17-19-26)30(34)15-10-22-33-23-20-29(21-24-33)32(35,27-11-6-4-7-12-27)28-13-8-5-9-14-28/h4-9,11-14,16-19,29-30,34-35H,10,15,20-24H2,1-3H3	48	CC(C)(C)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
neomycin	Approved Name	DTXSID9041073	Neomycin	1404-04-2	-	-	25	-
mianserin	Approved Name	DTXSID6023317	Mianserin	24219-97-4	2-Methyl-1,2,3,4,10,14b-hexahydrodibenzo[c,f]pyrazino[1,2-a]azepine	InChI=1S/C18H20N2/c1-19-10-11-20-17-9-5-3-7-15(17)12-14-6-2-4-8-16(14)18(20)13-19/h2-9,18H,10-13H2,1H3	42	CN1CCN2C(C1)C1=CC=CC=C1CC1=C2C=CC=C1
dizocilpine	Approved Name	DTXSID3048447	Dizocilpine	77086-21-6	(5S,10R)-5-Methyl-10,11-dihydro-5H-5,10-epiminodibenzo[a,d][7]annulene	InChI=1S/C16H15N/c1-16-13-8-4-2-6-11(13)10-15(17-16)12-7-3-5-9-14(12)16/h2-9,15,17H,10H2,1H3/t15-,16+/m1/s1	17	[H]C12CC3=C(C=CC=C3)C(C)(N1)C1=C2C=CC=C1
pirenzepine	Approved Name	DTXSID7023487	Pirenzepine	28797-61-7	11-[(4-Methylpiperazin-1-yl)acetyl]-5,11-dihydro-6H-pyrido[2,3-b][1,4]benzodiazepin-6-one	InChI=1S/C19H21N5O2/c1-22-9-11-23(12-10-22)13-17(25)24-16-7-3-2-5-14(16)19(26)21-15-6-4-8-20-18(15)24/h2-8H,9-13H2,1H3,(H,21,26)	39	CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1
picotamide	Approved Name	DTXSID40186498	Picotamide	32828-81-2	4-Methoxy-N~1~,N~3~-bis[(pyridin-3-yl)methyl]benzene-1,3-dicarboxamide	InChI=1S/C21H20N4O3/c1-28-19-7-6-17(20(26)24-13-15-4-2-8-22-11-15)10-18(19)21(27)25-14-16-5-3-9-23-12-16/h2-12H,13-14H2,1H3,(H,24,26)(H,25,27)	18	COC1=C(C=C(C=C1)C(=O)NCC1=CN=CC=C1)C(=O)NCC1=CN=CC=C1
cefotaxime	Approved Name	DTXSID6022761	Cefotaxime	63527-52-6	(6R,7R)-3-[(Acetyloxy)methyl]-7-{[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid	InChI=1S/C16H17N5O7S2/c1-6(22)28-3-7-4-29-14-10(13(24)21(14)11(7)15(25)26)19-12(23)9(20-27-2)8-5-30-16(17)18-8/h5,10,14H,3-4H2,1-2H3,(H2,17,18)(H,19,23)(H,25,26)/b20-9+/t10-,14-/m1/s1	29	CO\N=C(\C(=O)NC1C2SCC(COC(C)=O)=C(N2C1=O)C(O)=O)c1csc(N)n1
spironolactone	Approved Name	DTXSID6034186	Spironolactone	52-01-7	S-[(7R,8R,9S,10R,13S,14S,17R)-10,13-Dimethyl-3,5'-dioxo-1,2,3,6,7,8,9,10,11,12,13,14,15,16-tetradecahydrospiro[cyclopenta[a]phenanthrene-17,2'-oxolan]-7-yl] ethanethioate	InChI=1S/C24H32O4S/c1-14(25)29-19-13-15-12-16(26)4-8-22(15,2)17-5-9-23(3)18(21(17)19)6-10-24(23)11-7-20(27)28-24/h12,17-19,21H,4-11,13H2,1-3H3/t17-,18-,19+,21+,22-,23-,24+/m0/s1	75	CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC33CCC(=O)O3)C12
thioproperazine	Approved Name	DTXSID1023655	Thioproperazine	316-81-4	N,N-Dimethyl-10-[3-(4-methylpiperazin-1-yl)propyl]-10H-phenothiazine-2-sulfonamide	InChI=1S/C22H30N4O2S2/c1-23(2)30(27,28)18-9-10-22-20(17-18)26(19-7-4-5-8-21(19)29-22)12-6-11-25-15-13-24(3)14-16-25/h4-5,7-10,17H,6,11-16H2,1-3H3	27	CN(C)S(=O)(=O)C1=CC2=C(SC3=CC=CC=C3N2CCCN2CCN(C)CC2)C=C1
nalbuphine	Approved Name	DTXSID8023345	Nalbuphine	20594-83-6	(5alpha,6alpha)-17-(Cyclobutylmethyl)-4,5-epoxymorphinan-3,6,14-triol	InChI=1S/C21H27NO4/c23-14-5-4-13-10-16-21(25)7-6-15(24)19-20(21,17(13)18(14)26-19)8-9-22(16)11-12-2-1-3-12/h4-5,12,15-16,19,23-25H,1-3,6-11H2/t15-,16+,19-,20-,21+/m0/s1	32	[H]C12CC3=C4C(OC5C(O)CCC1(O)C45CCN2CC1CCC1)=C(O)C=C3
pindolol	Approved Name	DTXSID8023476	Pindolol	13523-86-9	1-[(1H-Indol-4-yl)oxy]-3-[(propan-2-yl)amino]propan-2-ol	InChI=1S/C14H20N2O2/c1-10(2)16-8-11(17)9-18-14-5-3-4-13-12(14)6-7-15-13/h3-7,10-11,15-17H,8-9H2,1-2H3	52	CC(C)NCC(O)COC1=C2C=CNC2=CC=C1
dihydrostreptomycin	Approved Name	DTXSID0022937	Dihydrostreptomycin	128-46-1	N,N'-[(1R,2R,3S,4R,5R,6S)-4-({5-Deoxy-2-O-[2-deoxy-2-(methylamino)-alpha-L-glucopyranosyl]-3-C-(hydroxymethyl)-alpha-L-lyxofuranosyl}oxy)-2,5,6-trihydroxycyclohexane-1,3-diyl]diguanidine	InChI=1S/C21H41N7O12/c1-5-21(36,4-30)16(40-17-9(26-2)13(34)10(31)6(3-29)38-17)18(37-5)39-15-8(28-20(24)25)11(32)7(27-19(22)23)12(33)14(15)35/h5-18,26,29-36H,3-4H2,1-2H3,(H4,22,23,27)(H4,24,25,28)/t5-,6-,7+,8-,9-,10-,11+,12-,13-,14+,15+,16-,17-,18-,21+/m0/s1	25	CNC1C(O)C(O)C(CO)OC1OC1C(OC2C(O)C(O)C(NC(N)=N)C(O)C2NC(N)=N)OC(C)C1(O)CO
acenocoumarol	Approved Name	DTXSID2022541	Acenocoumarol	152-72-7	4-Hydroxy-3-[1-(4-nitrophenyl)-3-oxobutyl]-2H-1-benzopyran-2-one	InChI=1S/C19H15NO6/c1-11(21)10-15(12-6-8-13(9-7-12)20(24)25)17-18(22)14-4-2-3-5-16(14)26-19(17)23/h2-9,15,22H,10H2,1H3	37	CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O
triamcinolone	Approved Name	DTXSID1040742	Triamcinolone	124-94-7	(11beta,16alpha)-9-Fluoro-11,16,17,21-tetrahydroxypregna-1,4-diene-3,20-dione	InChI=1S/C21H27FO6/c1-18-6-5-12(24)7-11(18)3-4-13-14-8-15(25)21(28,17(27)10-23)19(14,2)9-16(26)20(13,18)22/h5-7,13-16,23,25-26,28H,3-4,8-10H2,1-2H3/t13-,14-,15+,16-,18-,19-,20-,21-/m0/s1	56	CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO
dihydroergotamine	Approved Name	DTXSID6045614	Dihydroergotamine	511-12-6	(5'alpha,10alpha)-5'-Benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxo-9,10-dihydroergotaman	InChI=1S/C33H37N5O5/c1-32(35-29(39)21-15-23-22-10-6-11-24-28(22)20(17-34-24)16-25(23)36(2)18-21)31(41)38-26(14-19-8-4-3-5-9-19)30(40)37-13-7-12-27(37)33(38,42)43-32/h3-6,8-11,17,21,23,25-27,34,42H,7,12-16,18H2,1-2H3,(H,35,39)/t21-,23-,25-,26+,27+,32-,33+/m1/s1	27	CN1CC(CC2C1CC1=CNC3=CC=CC2=C13)C(=O)NC1(C)OC2(O)C3CCCN3C(=O)C(CC3=CC=CC=C3)N2C1=O
tetracycline	Approved Name	DTXSID7023645	Tetracycline	60-54-8	(4S,4aS,5aS,6S,12aS)-4-(Dimethylamino)-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide	InChI=1S/C22H24N2O8/c1-21(31)8-5-4-6-11(25)12(8)16(26)13-9(21)7-10-15(24(2)3)17(27)14(20(23)30)19(29)22(10,32)18(13)28/h4-6,9-10,15,25,27-28,31-32H,7H2,1-3H3,(H2,23,30)/t9-,10-,15-,21+,22-/m0/s1	72	CN(C)C1C2CC3C(=C(O)C2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(C=CC=C1O)C3(C)O
isoniazid	Approved Name	DTXSID8020755	Isoniazid	54-85-3	Pyridine-4-carbohydrazide	InChI=1S/C6H7N3O/c7-9-6(10)5-1-3-8-4-2-5/h1-4H,7H2,(H,9,10)	75	NNC(=O)C1=CC=NC=C1
tranexamic acid	Approved Name	DTXSID3045350	Tranexamic acid	1197-18-8	4-(Aminomethyl)cyclohexane-1-carboxylic acid	InChI=1S/C8H15NO2/c9-5-6-1-3-7(4-2-6)8(10)11/h6-7H,1-5,9H2,(H,10,11)	33	NCC1CCC(CC1)C(O)=O
ranitidine	Approved Name	DTXSID8045191	Ranitidine	66357-35-5	N~1~-{2-[({5-[(Dimethylamino)methyl]furan-2-yl}methyl)sulfanyl]ethyl}-N'~1~-methyl-2-nitroethene-1,1-diamine	InChI=1S/C13H22N4O3S/c1-14-13(9-17(18)19)15-6-7-21-10-12-5-4-11(20-12)8-16(2)3/h4-5,9,14-15H,6-8,10H2,1-3H3	62	CN\C(NCCSCC1=CC=C(CN(C)C)O1)=C\[N+]([O-])=O
ampyrone	Approved Name	DTXSID8048860	Ampyrone	83-07-8	4-Amino-1,5-dimethyl-2-phenyl-1,2-dihydro-3H-pyrazol-3-one	InChI=1S/C11H13N3O/c1-8-10(12)11(15)14(13(8)2)9-6-4-3-5-7-9/h3-7H,12H2,1-2H3	45	CN1N(C(=O)C(N)=C1C)C1=CC=CC=C1
midodrine	Approved Name	DTXSID0023321	Midodrine	42794-76-3	N-[2-(2,5-Dimethoxyphenyl)-2-hydroxyethyl]glycinamide	InChI=1S/C12H18N2O4/c1-17-8-3-4-11(18-2)9(5-8)10(15)7-14-12(16)6-13/h3-5,10,15H,6-7,13H2,1-2H3,(H,14,16)	24	COC1=CC=C(OC)C(=C1)C(O)CNC(=O)CN
piroxicam	Approved Name	DTXSID5021170	Piroxicam	36322-90-4	4-Hydroxy-2-methyl-1,1-dioxo-N-(pyridin-2-yl)-1,2-dihydro-1lambda~6~,2-benzothiazine-3-carboxamide	InChI=1S/C15H13N3O4S/c1-18-13(15(20)17-12-8-4-5-9-16-12)14(19)10-6-2-3-7-11(10)23(18,21)22/h2-9,19H,1H3,(H,16,17,20)	45	CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O
norfloxacin	Approved Name	DTXSID7037680	Norfloxacin	70458-96-7	1-Ethyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid	InChI=1S/C16H18FN3O3/c1-2-19-9-11(16(22)23)15(21)10-7-12(17)14(8-13(10)19)20-5-3-18-4-6-20/h7-9,18H,2-6H2,1H3,(H,22,23)	63	CCN1C=C(C(O)=O)C(=O)C2=CC(F)=C(C=C12)N1CCNCC1
pentetrazol	Synonym from Valid Source	DTXSID7041091	Pentylenetetrazol	54-95-5	6,7,8,9-Tetrahydro-5H-tetrazolo[1,5-a]azepine	InChI=1S/C6H10N4/c1-2-4-6-7-8-9-10(6)5-3-1/h1-5H2	43	C1CCN2N=NN=C2CC1
etodolac	Approved Name	DTXSID9020615	Etodolac	41340-25-4	(1,8-Diethyl-1,3,4,9-tetrahydropyrano[3,4-b]indol-1-yl)acetic acid	InChI=1S/C17H21NO3/c1-3-11-6-5-7-12-13-8-9-21-17(4-2,10-14(19)20)16(13)18-15(11)12/h5-7,18H,3-4,8-10H2,1-2H3,(H,19,20)	46	CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O
levamisole	Approved Name	DTXSID4023206	Levamisole	14769-73-4	(6S)-6-Phenyl-2,3,5,6-tetrahydroimidazo[2,1-b][1,3]thiazole	InChI=1S/C11H12N2S/c1-2-4-9(5-3-1)10-8-13-6-7-14-11(13)12-10/h1-5,10H,6-8H2/t10-/m1/s1	38	C1CN2CC(N=C2S1)C1=CC=CC=C1
etofylline	Approved Name	DTXSID5023031	Etofylline	519-37-9	7-(2-Hydroxyethyl)-1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione	InChI=1S/C9H12N4O3/c1-11-7-6(8(15)12(2)9(11)16)13(3-4-14)5-10-7/h5,14H,3-4H2,1-2H3	36	CN1C2=C(N(CCO)C=N2)C(=O)N(C)C1=O
pyrantel	Approved Name	DTXSID5023538	Pyrantel	15686-83-6	1-Methyl-2-[(E)-2-(thiophen-2-yl)ethenyl]-1,4,5,6-tetrahydropyrimidine	InChI=1S/C11H14N2S/c1-13-8-3-7-12-11(13)6-5-10-4-2-9-14-10/h2,4-6,9H,3,7-8H2,1H3/b6-5+	25	CN1CCCN=C1\C=C\C1=CC=CS1
tiratricol	Approved Name	DTXSID2045232	Tiratricol	51-24-1	[4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]acetic acid	InChI=1S/C14H9I3O4/c15-9-6-8(1-2-12(9)18)21-14-10(16)3-7(4-11(14)17)5-13(19)20/h1-4,6,18H,5H2,(H,19,20)	42	OC(=O)CC1=CC(I)=C(OC2=CC(I)=C(O)C=C2)C(I)=C1
tranylcypromine	Approved Name	DTXSID2023694	Tranylcypromine	155-09-9	(1R,2S)-2-Phenylcyclopropan-1-amine	InChI=1S/C9H11N/c10-9-6-8(9)7-4-2-1-3-5-7/h1-5,8-9H,6,10H2/t8-,9+/m0/s1	28	NC1CC1C1=CC=CC=C1
scopolamine N-oxide	NO_MATCH	-	-	-	-	-	-	-
oxolinic acid	Approved Name	DTXSID1021089	Oxolinic acid	14698-29-4	5-Ethyl-8-oxo-5,8-dihydro-2H-[1,3]dioxolo[4,5-g]quinoline-7-carboxylic acid	InChI=1S/C13H11NO5/c1-2-14-5-8(13(16)17)12(15)7-3-10-11(4-9(7)14)19-6-18-10/h3-5H,2,6H2,1H3,(H,16,17)	63	CCN1C=C(C(O)=O)C(=O)C2=CC3=C(OCO3)C=C12
pargyline	Approved Name	DTXSID3023423	Pargyline	555-57-7	N-Benzyl-N-methylprop-2-yn-1-amine	InChI=1S/C11H13N/c1-3-9-12(2)10-11-7-5-4-6-8-11/h1,4-8H,9-10H2,2H3	31	CN(CC#C)CC1=CC=CC=C1
antimycin A	Approved Name	DTXSID9032325	Antimycin A	1397-94-0	-	-	32	-
chlorzoxazone	Approved Name	DTXSID9022813	Chlorzoxazone	95-25-0	5-Chloro-1,3-benzoxazol-2(3H)-one	InChI=1S/C7H4ClNO2/c8-4-1-2-6-5(3-4)9-7(10)11-6/h1-3H,(H,9,10)	51	ClC1=CC=C2OC(=O)NC2=C1
fenspiride	Approved Name	DTXSID4023048	Fenspiride	5053-06-5	8-(2-Phenylethyl)-1-oxa-3,8-diazaspiro[4.5]decan-2-one	InChI=1S/C15H20N2O2/c18-14-16-12-15(19-14)7-10-17(11-8-15)9-6-13-4-2-1-3-5-13/h1-5H,6-12H2,(H,16,18)	23	O=C1NCC2(CCN(CCC3=CC=CC=C3)CC2)O1
gemfibrozil	Approved Name	DTXSID0020652	Gemfibrozil	25812-30-0	5-(2,5-Dimethylphenoxy)-2,2-dimethylpentanoic acid	InChI=1S/C15H22O3/c1-11-6-7-12(2)13(10-11)18-9-5-8-15(3,4)14(16)17/h6-7,10H,5,8-9H2,1-4H3,(H,16,17)	76	CC1=CC(OCCCC(C)(C)C(O)=O)=C(C)C=C1
ornidazole	Approved Name	DTXSID4045420	Ornidazole	16773-42-5	1-Chloro-3-(2-methyl-5-nitro-1H-imidazol-1-yl)propan-2-ol	InChI=1S/C7H10ClN3O3/c1-5-9-3-7(11(13)14)10(5)4-6(12)2-8/h3,6,12H,2,4H2,1H3	39	CC1=NC=C(N1CC(O)CCl)[N+]([O-])=O
xylometazoline	Approved Name	DTXSID8046957	Xylometazoline	526-36-3	2-[(4-tert-Butyl-2,6-dimethylphenyl)methyl]-4,5-dihydro-1H-imidazole	InChI=1S/C16H24N2/c1-11-8-13(16(3,4)5)9-12(2)14(11)10-15-17-6-7-18-15/h8-9H,6-7,10H2,1-5H3,(H,17,18)	30	CC1=CC(=CC(C)=C1CC1=NCCN1)C(C)(C)C
alverine	Approved Name	DTXSID0048557	Alverine	150-59-4	N-Ethyl-3-phenyl-N-(3-phenylpropyl)propan-1-amine	InChI=1S/C20H27N/c1-2-21(17-9-15-19-11-5-3-6-12-19)18-10-16-20-13-7-4-8-14-20/h3-8,11-14H,2,9-10,15-18H2,1H3	20	CCN(CCCC1=CC=CC=C1)CCCC1=CC=CC=C1
flumequine	Approved Name	DTXSID5045623	Flumequine	42835-25-6	9-Fluoro-5-methyl-1-oxo-6,7-dihydro-1H,5H-pyrido[3,2,1-ij]quinoline-2-carboxylic acid	InChI=1S/C14H12FNO3/c1-7-2-3-8-4-9(15)5-10-12(8)16(7)6-11(13(10)17)14(18)19/h4-7H,2-3H2,1H3,(H,18,19)	44	CC1CCC2=CC(F)=CC3=C2N1C=C(C(O)=O)C3=O
chlorphenesin	Approved Name	DTXSID0049028	Chlorphenesin	104-29-0	3-(4-Chlorophenoxy)propane-1,2-diol	InChI=1S/C9H11ClO3/c10-7-1-3-9(4-2-7)13-6-8(12)5-11/h1-4,8,11-12H,5-6H2	29	OCC(O)COC1=CC=C(Cl)C=C1
hyoscyamine	NO_MATCH	-	-	-	-	-	-	-
nimesulide	Approved Name	DTXSID3037250	Nimesulide	51803-78-2	N-(4-Nitro-2-phenoxyphenyl)methanesulfonamide	InChI=1S/C13H12N2O5S/c1-21(18,19)14-12-8-7-10(15(16)17)9-13(12)20-11-5-3-2-4-6-11/h2-9,14H,1H3	48	CS(=O)(=O)NC1=CC=C(C=C1OC1=CC=CC=C1)[N+]([O-])=O
oxymetazoline	Approved Name	DTXSID3040691	Oxymetazoline	1491-59-4	6-tert-Butyl-3-[(4,5-dihydro-1H-imidazol-2-yl)methyl]-2,4-dimethylphenol	InChI=1S/C16H24N2O/c1-10-8-13(16(3,4)5)15(19)11(2)12(10)9-14-17-6-7-18-14/h8,19H,6-7,9H2,1-5H3,(H,17,18)	41	CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C
